Date,Holiday
1478822400.0,Veterans Day
1435881600.0,Independence Day (Observed)
1424044800.0,Washington's Birthday
1464566400.0,Memorial Day
1482624000.0,Christmas Day
1447200000.0,Veterans Day
1451001600.0,Christmas Day
1479945600.0,Thanksgiving
1429142400.0,Emancipation Day
1460678400.0,Emancipation Day (Observed)
1432512000.0,Memorial Day
1453075200.0,"Martin Luther King, Jr. Day"
1460764800.0,Emancipation Day
1448496000.0,Thanksgiving
1420070400.0,New Year's Day
1451606400.0,New Year's Day
1421625600.0,"Martin Luther King, Jr. Day"
1435968000.0,Independence Day
1473033600.0,Labor Day
1441584000.0,Labor Day
1455494400.0,Washington's Birthday
1482710400.0,Christmas Day (Observed)
1467590400.0,Independence Day
1476057600.0,Columbus Day
1444608000.0,Columbus Day
